111001, 39
11101, 1D
1000101, 45
1011000, 58
10001, 11
11001, 19
1010, A
1010001, 51
1, 1
110000, 30
101010, 2A
111101, 3D
11000, 18
100101, 25
1000000, 40
101111, 2F
100011, 23
1010101, 55
1011011, 5B
110110, 36
100000, 20
1000111, 47
1011001, 59
1011111, 5F
11011, 1B
1001100, 4C
111010, 3A
1011101, 5D
10110, 16
101100, 2C
11010, 1A
10010, 12
1001010, 4A
111111, 3F
1000100, 44
101101, 2D
1010110, 56
1111, F
1001, 9
1000001, 41
1000110, 46
10111, 17
110001, 31
1011100, 5C
111100, 3C
1000010, 42
1100001, 61
110100, 34
110111, 37
1011, B
110011, 33
1011110, 5E
1100, C
111000, 38
10, 2
100001, 21
11, 3
10101, 15
111110, 3E
1100100, 64
1110, E
101, 5
1001111, 4F
11110, 1E
101001, 29
101000, 28
1001110, 4E
1011010, 5A
110010, 32
1001001, 49
1010011, 53
100110, 26
11111, 1F
110, 6
100111, 27
101011, 2B
1001101, 4D
1000, 8
1101, D
1010111, 57
1100000, 60
100100, 24
10000, 10
100, 4
1100011, 63
10011, 13
1010100, 54
11100, 1C
1001011, 4B
110101, 35
1001000, 48
10100, 14
111, 7
1010000, 50
1000011, 43
100010, 22
1100010, 62
111011, 3B
1010010, 52
101110, 2E
11101, 1D
10011, 13
10, 2
10111, 17
100111, 27
11000, 18
1010101, 55
1000011, 43
101, 5
10101, 15
110111, 37
1001100, 4C
1100100, 64
10100, 14
1011110, 5E
1010010, 52
11111, 1F
110010, 32
1100011, 63
1001, 9
110011, 33
1100000, 60
111000, 38
111010, 3A
1000100, 44
101010, 2A
110101, 35
1111, F
1010011, 53
101100, 2C
100000, 20
100110, 26
1011010, 5A
110, 6
101110, 2E
111011, 3B
11110, 1E
1000101, 45
10000, 10
10010, 12
1000111, 47
110100, 34
111100, 3C
1001110, 4E
111, 7
101011, 2B
1010111, 57
1011001, 59
1011111, 5F
1001001, 49
101001, 29
100101, 25
1000, 8
111101, 3D
1000010, 42
110110, 36
1011, B
1001010, 4A
1100, C
100010, 22
1001101, 4D
10110, 16
101101, 2D
11010, 1A
1100001, 61
1101, D
110001, 31
10011, 13
100100, 24
1100011, 63
1011101, 5D
1000000, 40
1001000, 48
100011, 23
1100010, 62
101000, 28
1010001, 51
1001011, 4B
11011, 1B
1011011, 5B
1000001, 41
110000, 30
1110, E
111110, 3E
111001, 39
1, 1
111111, 3F
1011000, 58
11001, 19
11, 3
1010100, 54
1001111, 4F
100, 4
1010000, 50
1010, A
11100, 1C
101111, 2F
100001, 21
1010110, 56
1000110, 46
1001, 9
10110, 16
1100011, 63
11101, 1D
111000, 38
110011, 33
100111, 27
1001000, 48
110000, 30
11011, 1B
101010, 2A
100110, 26
1001100, 4C
1010011, 53
101100, 2C
1001111, 4F
1011011, 5B
1011110, 5E
110111, 37
1010110, 56
1010100, 54
101000, 28
101101, 2D
1001001, 49
11100, 1C
100001, 21
10101, 15
1000011, 43
11010, 1A
101, 5
101011, 2B
101111, 2F
1000000, 40
100101, 25
1001011, 4B
1010101, 55
100010, 22
1000111, 47
100011, 23
1000110, 46
110101, 35
1010000, 50
111100, 3C
1011111, 5F
10100, 14
1010001, 51
1011, B
101001, 29
1100, C
1000001, 41
110, 6
111, 7
1000, 8
10000, 10
1011001, 59
11111, 1F
1001101, 4D
11, 3
1001110, 4E
1010111, 57
1111, F
11001, 19
111110, 3E
101110, 2E
1011101, 5D
100000, 20
10001, 11
111010, 3A
1100000, 60
1001010, 4A
1000010, 42
11110, 1E
1100001, 61
10111, 17
111111, 3F
110001, 31
111001, 39
1101, D
1011010, 5A
1100010, 62
1000101, 45
1100100, 64
100, 4
10010, 12
111101, 3D
1, 1
1010010, 52
1110, E
1011100, 5C
110010, 32
10, 2
10011, 13
110100, 34
110110, 36
11000, 18
1010, A
100100, 24
1011000, 58
111011, 3B
1000100, 44
111010, 3A
110001, 31
100100, 24
1100011, 63
10101, 15
1001110, 4E
1001011, 4B
101111, 2F
110010, 32
101, 5
110100, 34
1011100, 5C
111110, 3E
10001, 11
1010110, 56
101101, 2D
11011, 1B
1100010, 62
1010, A
1000001, 41
111, 7
1010111, 57
1000010, 42
110, 6
1001101, 4D
1011110, 5E
100000, 20
1011010, 5A
10111, 17
11000, 18
111100, 3C
1000011, 43
1010101, 55
1111, F
1001000, 48
1100000, 60
111111, 3F
1010100, 54
111000, 38
111001, 39
1000111, 47
10, 2
1001100, 4C
11001, 19
1101, D
101110, 2E
1011000, 58
101000, 28
110101, 35
110110, 36
1110, E
100, 4
1001001, 49
111011, 3B
11100, 1C
101010, 2A
1100001, 61
100111, 27
1010011, 53
1000110, 46
1010001, 51
10010, 12
1011001, 59
1000000, 40
100110, 26
110000, 30
101001, 29
1010010, 52
10000, 10
1000, 8
111101, 3D
11110, 1E
1010000, 50
1011011, 5B
101100, 2C
1, 1
1011, B
1000100, 44
10011, 13
1011101, 5D
1001010, 4A
100010, 22
100001, 21
1011111, 5F
110011, 33
1100, C
11, 3
11111, 1F
1001111, 4F
110111, 37
11010, 1A
10100, 14
1100100, 64
11101, 1D
10110, 16
100011, 23
100101, 25
101011, 2B
1001, 9
1000101, 45
Tiempo de procesamiento: 0.998 ms
